,Date,State,Confirmed
640,2020-04-04,Puducherry,5
641,2020-04-04,Punjab,57
642,2020-04-04,Rajasthan,200
643,2020-04-04,Tamil Nadu,411
644,2020-04-04,Telangana,159
645,2020-04-04,Uttarakhand,16
646,2020-04-04,Uttar Pradesh,174
647,2020-04-04,West Bengal,69
648,2020-04-05,Andhra Pradesh,190
649,2020-04-05,Andaman and Nicobar Islands,10
650,2020-04-05,Arunachal Pradesh,1
651,2020-04-05,Assam,26
652,2020-04-05,Bihar,30
653,2020-04-05,Chandigarh,18
654,2020-04-05,Chhattisgarh,9
655,2020-04-05,Delhi,503
656,2020-04-05,Goa,7
657,2020-04-05,Gujarat,122
658,2020-04-05,Haryana,59
659,2020-04-05,Himachal Pradesh,6
660,2020-04-05,Jammu and Kashmir,106
661,2020-04-05,Jharkhand,3
662,2020-04-05,Karnataka,144
663,2020-04-05,Kerala,306
664,2020-04-05,Ladakh,14
665,2020-04-05,Madhya Pradesh,165
666,2020-04-05,Maharashtra,490
667,2020-04-05,Manipur,2
668,2020-04-05,Mizoram,1
669,2020-04-05,Odisha,20
670,2020-04-05,Puducherry,5
671,2020-04-05,Punjab,57
672,2020-04-05,Rajasthan,200
673,2020-04-05,Tamil Nadu,485
674,2020-04-05,Telangana,269
675,2020-04-05,Uttarakhand,22
676,2020-04-05,Uttar Pradesh,227
677,2020-04-05,West Bengal,80
678,2020-04-06,Andhra Pradesh,226
679,2020-04-06,Andaman and Nicobar Islands,10
680,2020-04-06,Arunachal Pradesh,1
681,2020-04-06,Assam,26
682,2020-04-06,Bihar,32
683,2020-04-06,Chandigarh,18
684,2020-04-06,Chhattisgarh,10
685,2020-04-06,Delhi,523
686,2020-04-06,Goa,7
687,2020-04-06,Gujarat,144
688,2020-04-06,Haryana,84
689,2020-04-06,Himachal Pradesh,13
690,2020-04-06,Jammu and Kashmir,109
691,2020-04-06,Jharkhand,4
692,2020-04-06,Karnataka,151
693,2020-04-06,Kerala,314
694,2020-04-06,Ladakh,14
695,2020-04-06,Madhya Pradesh,165
696,2020-04-06,Maharashtra,748
697,2020-04-06,Manipur,2
698,2020-04-06,Mizoram,1
699,2020-04-06,Odisha,21
700,2020-04-06,Puducherry,5
701,2020-04-06,Punjab,76
702,2020-04-06,Rajasthan,274
703,2020-04-06,Tamil Nadu,571
704,2020-04-06,Telangana,321
705,2020-04-06,Uttarakhand,26
706,2020-04-06,Uttar Pradesh,305
707,2020-04-06,West Bengal,80
708,2020-04-07,Andhra Pradesh,266
709,2020-04-07,Andaman and Nicobar Islands,10
710,2020-04-07,Arunachal Pradesh,1
711,2020-04-07,Assam,26
712,2020-04-07,Bihar,32
